"""date"",""geography"",""geography code"",""Rural Urban"",""Variable: All usual residents; measures: Value"",""Variable: Males; measures: Value"",""Variable: Females; measures: Value"",""Variable: Lives in a household; measures: Value"",""Variable: Lives in a communal establishment; measures: Value"",""Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value"",""Variable: Area (Hectares); measures: Value"",""Variable: Density (number of persons per hectare); measures: Value"""
"""2011"",""County Durham 041D"",""E01020732"",""Total"",1796,845,951,1732,64,48,948.38,1.9"
"""2011"",""County Durham 044A"",""E01020695"",""Total"",1782,898,884,1782,0,13,922.40,1.9"
"""2011"",""County Durham 044B"",""E01020698"",""Total"",1600,789,811,1594,6,15,164.04,9.8"
"""2011"",""County Durham 044C"",""E01020699"",""Total"",1172,594,578,1172,0,5,194.04,6.0"
"""2011"",""County Durham 044D"",""E01020700"",""Total"",1575,777,798,1563,12,6,1195.12,1.3"
"""2011"",""County Durham 044E"",""E01020701"",""Total"",1345,646,699,1345,0,20,61.31,21.9"
"""2011"",""County Durham 016A"",""E01020750"",""Total"",1247,617,630,1247,0,10,22.20,56.2"
"""2011"",""County Durham 016B"",""E01020781"",""Total"",1126,534,592,1064,62,7,42.29,26.6"
"""2011"",""County Durham 016D"",""E01020786"",""Total"",1606,829,777,1606,0,12,627.16,2.6"
"""2011"",""County Durham 016E"",""E01020787"",""Total"",1833,881,952,1803,30,5,44.90,40.8"
"""2011"",""County Durham 016F"",""E01033163"",""Total"",1978,975,1003,1972,6,7,272.00,7.3"
"""2011"",""County Durham 016G"",""E01033202"",""Total"",1166,576,590,1166,0,4,32.57,35.8"
"""2011"",""County Durham 017A"",""E01020740"",""Total"",1414,711,703,1399,15,7,37.95,37.3"
"""2011"",""County Durham 017B"",""E01020741"",""Total"",1245,665,580,1240,5,6,23.86,52.2"
"""2011"",""County Durham 017C"",""E01020742"",""Total"",1681,825,856,1656,25,4,141.91,11.8"
"""2011"",""County Durham 017D"",""E01020782"",""Total"",1196,567,629,1100,96,2,31.71,37.7"
"""2011"",""County Durham 017E"",""E01020783"",""Total"",1347,650,697,1347,0,10,22.72,59.3"
"""2011"",""County Durham 017F"",""E01020784"",""Total"",1462,732,730,1450,12,8,65.34,22.4"
"""2011"",""County Durham 018A"",""E01020743"",""Total"",1418,673,745,1418,0,5,130.02,10.9"
"""2011"",""County Durham 018B"",""E01020747"",""Total"",1298,584,714,1248,50,3,29.96,43.3"
"""2011"",""County Durham 018C"",""E01020748"",""Total"",1285,619,666,1285,0,9,20.98,61.2"
"""2011"",""County Durham 018D"",""E01020749"",""Total"",1388,640,748,1388,0,1,41.48,33.5"
"""2011"",""County Durham 018E"",""E01020773"",""Total"",1389,680,709,1385,4,6,369.10,3.8"
"""2011"",""County Durham 018F"",""E01020775"",""Total"",1712,771,941,1712,0,4,65.74,26.0"
"""2011"",""County Durham 021C"",""E01020776"",""Total"",1855,893,962,1806,49,9,352.02,5.3"
"""2011"",""County Durham 021D"",""E01033161"",""Total"",1549,802,747,1507,42,9,286.83,5.4"
"""2011"",""County Durham 021E"",""E01033198"",""Total"",1470,757,713,1470,0,3,21.15,69.5"
"""2011"",""County Durham 021F"",""E01033205"",""Total"",1497,764,733,1494,3,4,274.99,5.4"
"""2011"",""County Durham 021G"",""E01033206"",""Total"",1535,765,770,1525,10,12,92.17,16.7"
"""2011"",""County Durham 025A"",""E01020751"",""Total"",1862,931,931,1862,0,7,103.98,17.9"
"""2011"",""County Durham 025B"",""E01020752"",""Total"",1199,614,585,1199,0,7,321.78,3.7"
"""2011"",""County Durham 025C"",""E01020754"",""Total"",1323,667,656,1323,0,7,961.01,1.4"
"""2011"",""County Durham 025D"",""E01020756"",""Total"",1348,676,672,1348,0,11,795.45,1.7"
"""2011"",""County Durham 032A"",""E01020745"",""Total"",1347,621,726,1298,49,7,30.77,43.8"
"""2011"",""County Durham 032B"",""E01020753"",""Total"",1961,923,1038,1876,85,13,101.78,19.3"
"""2011"",""County Durham 032C"",""E01020757"",""Total"",1145,555,590,1089,56,8,25.11,45.6"
"""2011"",""County Durham 032D"",""E01020758"",""Total"",1441,685,756,1441,0,9,58.74,24.5"
"""2011"",""County Durham 032E"",""E01020759"",""Total"",1115,531,584,1115,0,9,68.75,16.2"
"""2011"",""County Durham 032F"",""E01020765"",""Total"",1713,884,829,1713,0,11,215.70,7.9"
"""2011"",""County Durham 034A"",""E01020760"",""Total"",1634,812,822,1621,13,10,222.50,7.3"
"""2011"",""County Durham 034B"",""E01020761"",""Total"",1291,639,652,1291,0,7,459.06,2.8"
"""2011"",""County Durham 034C"",""E01020762"",""Total"",1434,710,724,1420,14,8,52.89,27.1"
"""2011"",""County Durham 034D"",""E01020763"",""Total"",1831,921,910,1812,19,13,1159.06,1.6"
"""2011"",""County Durham 036A"",""E01020764"",""Total"",1370,658,712,1370,0,2,36.56,37.5"
"""2011"",""County Durham 036B"",""E01020766"",""Total"",1452,681,771,1427,25,5,23.98,60.6"
